id_usuario,id_estabelecimento,visualizacoes_perfil,saves_favoritos,compartilhamentos
3944,233,10.0,0.0,1.0
3232,275,13.0,2.0,0.0
88,69,5.0,,0.0
3429,230,11.0,2.0,
1672,211,6.0,0.0,0.0
4527,11,6.0,1.0,0.0
4844,104,8.0,1.0,0.0
5193,111,,0.0,1.0
1922,243,5.0,0.0,0.0
4929,73,8.0,1.0,0.0
1653,45,7.0,1.0,1.0
5831,126,8.0,1.0,0.0
2836,480,7.0,0.0,1.0
2547,369,3.0,0.0,
5844,62,3.0,1.0,0.0
4461,133,6.0,0.0,
2657,280,,0.0,2.0
3414,246,7.0,2.0,1.0
5980,91,6.0,1.0,0.0
3231,67,3.0,0.0,0.0
4323,50,4.0,0.0,1.0
778,162,5.0,0.0,0.0
3414,62,3.0,0.0,0.0
3537,180,8.0,1.0,0.0
4667,137,,1.0,1.0
2411,80,7.0,2.0,1.0
4326,257,5.0,,1.0
1159,74,6.0,1.0,0.0
4389,200,4.0,0.0,0.0
2934,211,9.0,0.0,0.0
3075,241,4.0,0.0,0.0
2855,193,5.0,1.0,1.0
906,23,6.0,1.0,1.0
4005,293,2.0,0.0,0.0
3863,65,5.0,1.0,0.0
4898,140,5.0,0.0,0.0
772,187,8.0,2.0,0.0
1952,226,,0.0,0.0
3242,132,8.0,1.0,
4498,55,6.0,3.0,0.0
820,9,9.0,0.0,0.0
4225,290,10.0,1.0,0.0
4183,63,8.0,2.0,1.0
2509,187,6.0,1.0,0.0
900,296,2.0,1.0,0.0
4326,168,11.0,1.0,0.0
5065,175,7.0,0.0,1.0
2734,21,4.0,0.0,0.0
1090,31,4.0,,0.0
1970,238,,0.0,
1360,37,3.0,0.0,1.0
4457,112,11.0,4.0,0.0
2302,502,8.0,1.0,0.0
5269,154,5.0,0.0,0.0
2754,89,3.0,1.0,0.0
292,272,,1.0,1.0
3911,578,5.0,1.0,0.0
1423,239,6.0,0.0,0.0
3173,175,9.0,1.0,1.0
2377,78,2.0,0.0,0.0
1536,203,4.0,0.0,0.0
1752,144,9.0,1.0,0.0
2030,46,2.0,0.0,0.0
2544,283,5.0,0.0,0.0
4107,138,6.0,1.0,1.0
168,160,9.0,1.0,0.0
2438,283,9.0,0.0,0.0
3563,211,8.0,0.0,1.0
4786,150,5.0,0.0,0.0
3784,134,7.0,0.0,0.0
1488,161,5.0,1.0,0.0
2993,9,9.0,0.0,0.0
3093,279,4.0,0.0,
879,96,4.0,0.0,1.0
347,93,3.0,1.0,1.0
4387,75,5.0,0.0,0.0
1660,49,10.0,1.0,1.0
3713,26,5.0,0.0,0.0
3472,101,6.0,0.0,1.0
1567,189,7.0,0.0,0.0
5179,57,14.0,2.0,0.0
3814,63,5.0,1.0,0.0
5650,58,7.0,0.0,0.0
3210,290,5.0,2.0,0.0
4913,65,10.0,2.0,0.0
5651,192,3.0,0.0,0.0
5489,154,5.0,1.0,0.0
2551,239,7.0,0.0,1.0
2858,205,1.0,0.0,0.0
2782,118,14.0,1.0,
1958,115,6.0,1.0,0.0
1321,63,12.0,4.0,0.0
5822,13,7.0,1.0,0.0
2859,71,3.0,0.0,0.0
4460,52,8.0,0.0,1.0
2258,165,7.0,0.0,0.0
779,118,6.0,0.0,1.0
2992,135,6.0,1.0,0.0
2690,228,7.0,2.0,0.0
4188,220,8.0,0.0,
6015,196,8.0,0.0,0.0
5079,253,9.0,5.0,0.0
3540,57,7.0,2.0,0.0
5144,64,3.0,0.0,1.0
3215,86,9.0,1.0,0.0
2261,82,7.0,2.0,0.0
2562,108,5.0,0.0,0.0
2739,137,4.0,0.0,
1912,233,6.0,1.0,2.0
4848,253,7.0,0.0,0.0
5449,2,6.0,0.0,1.0
4684,221,4.0,1.0,
3064,146,6.0,0.0,1.0
4029,212,5.0,0.0,0.0
2834,15,3.0,2.0,0.0
2165,241,6.0,1.0,0.0
365,60,6.0,0.0,0.0
707,249,6.0,3.0,0.0
3363,154,7.0,1.0,0.0
94,247,8.0,0.0,1.0
2883,247,5.0,0.0,1.0
1170,236,4.0,0.0,0.0
483,144,7.0,0.0,0.0
1034,27,11.0,1.0,0.0
43,273,3.0,0.0,0.0
2664,145,12.0,0.0,1.0
4936,225,6.0,0.0,0.0
5930,201,5.0,0.0,0.0
1909,331,2.0,0.0,0.0
4892,200,5.0,1.0,0.0
1593,66,4.0,0.0,0.0
225,117,5.0,1.0,0.0
4305,117,5.0,1.0,0.0
141,139,8.0,0.0,1.0
1511,290,5.0,0.0,0.0
366,260,3.0,0.0,0.0
4533,18,5.0,1.0,0.0
1103,82,6.0,2.0,0.0
4901,47,4.0,0.0,0.0
267,292,3.0,0.0,0.0
5217,239,2.0,0.0,0.0
204,58,2.0,0.0,0.0
400,296,5.0,0.0,0.0
897,53,8.0,2.0,1.0
6808,5,7.0,1.0,0.0
186,230,3.0,1.0,0.0
688,239,9.0,2.0,0.0
4655,185,5.0,0.0,0.0
1846,204,5.0,,1.0
1683,194,6.0,1.0,1.0
4215,273,6.0,0.0,1.0
3392,93,6.0,1.0,1.0
578,278,4.0,0.0,0.0
5031,9,7.0,1.0,1.0
3477,9,3.0,0.0,0.0
5933,18,7.0,0.0,0.0
1962,204,7.0,,0.0
3543,268,6.0,1.0,0.0
6454,41,7.0,0.0,0.0
1108,93,5.0,1.0,1.0
780,78,5.0,0.0,0.0
351,195,6.0,3.0,0.0
2089,123,7.0,1.0,1.0
5751,53,4.0,0.0,
2616,172,,1.0,0.0
206,297,12.0,1.0,1.0
5510,23,7.0,0.0,0.0
37,150,4.0,0.0,0.0
3738,44,6.0,0.0,1.0
3791,245,7.0,1.0,1.0
448,155,9.0,1.0,0.0
1281,61,8.0,1.0,0.0
2647,200,1.0,0.0,0.0
3587,167,3.0,0.0,0.0
3094,295,8.0,1.0,0.0
5646,121,2.0,,0.0
2617,258,7.0,0.0,0.0
5311,159,8.0,1.0,0.0
588,72,8.0,1.0,0.0
1709,180,1.0,0.0,0.0
2208,233,6.0,2.0,0.0
4870,266,8.0,2.0,1.0
1401,202,14.0,0.0,1.0
5989,201,9.0,1.0,1.0
38,144,9.0,3.0,0.0
4391,42,9.0,3.0,
3445,50,4.0,1.0,0.0
1556,224,8.0,1.0,3.0
4616,60,5.0,1.0,1.0
1307,62,8.0,2.0,1.0
603,51,5.0,2.0,1.0
4692,285,4.0,1.0,0.0
4202,12,8.0,0.0,0.0
714,274,9.0,1.0,2.0
3061,96,4.0,1.0,0.0
5835,215,5.0,0.0,0.0
577,247,1.0,0.0,0.0
2923,86,3.0,1.0,1.0
3148,133,9.0,1.0,2.0
2442,200,8.0,1.0,0.0
5181,292,5.0,1.0,
2641,51,6.0,,0.0
4550,209,7.0,1.0,0.0
1151,199,8.0,3.0,2.0
3470,236,5.0,0.0,1.0
830,30,8.0,0.0,0.0
4306,239,8.0,0.0,0.0
1114,157,7.0,1.0,1.0
5703,259,5.0,1.0,0.0
3400,35,8.0,2.0,0.0
2904,72,5.0,1.0,0.0
3342,160,5.0,,0.0
5367,54,8.0,0.0,0.0
2664,296,5.0,1.0,1.0
384,73,5.0,3.0,0.0
5443,281,6.0,2.0,0.0
961,204,7.0,0.0,0.0
3807,195,8.0,0.0,0.0
3677,283,6.0,0.0,1.0
2316,151,6.0,0.0,0.0
2245,194,4.0,1.0,1.0
2047,16,7.0,2.0,1.0
6064,197,4.0,0.0,0.0
3770,240,7.0,0.0,0.0
567,292,7.0,2.0,1.0
598,67,9.0,1.0,1.0
4714,256,6.0,0.0,0.0
632,137,6.0,0.0,0.0
3109,151,8.0,0.0,0.0
2092,241,5.0,0.0,0.0
4107,214,6.0,1.0,1.0
2424,19,2.0,0.0,0.0
5164,105,6.0,1.0,1.0
5319,221,4.0,0.0,0.0
160,168,6.0,0.0,2.0
5909,176,3.0,0.0,1.0
5720,261,11.0,1.0,1.0
2218,198,5.0,0.0,0.0
1768,239,10.0,2.0,0.0
3739,110,2.0,0.0,0.0
4653,44,4.0,0.0,0.0
1414,27,3.0,1.0,1.0
5258,143,8.0,1.0,0.0
2938,53,6.0,1.0,0.0
1155,27,4.0,1.0,
5014,85,6.0,0.0,0.0
459,151,4.0,0.0,0.0
3103,2,5.0,0.0,0.0
4,131,5.0,1.0,1.0
1346,245,,1.0,0.0
3887,152,6.0,2.0,0.0
2228,37,9.0,0.0,0.0
728,25,4.0,0.0,0.0
643,132,7.0,0.0,1.0
5303,132,7.0,0.0,0.0
5166,53,7.0,0.0,0.0
4319,145,2.0,,0.0
2122,258,5.0,0.0,1.0
458,211,4.0,0.0,0.0
4069,53,,0.0,0.0
4235,125,4.0,1.0,0.0
3533,106,10.0,0.0,1.0
3310,279,6.0,1.0,
59,88,7.0,0.0,0.0
3903,214,8.0,1.0,1.0
5987,17,5.0,1.0,0.0
27,13,8.0,1.0,2.0
250,211,9.0,1.0,1.0
4567,204,,0.0,0.0
1517,275,6.0,0.0,0.0
4693,237,8.0,0.0,0.0
252,90,3.0,1.0,0.0
1132,46,3.0,,2.0
2888,234,7.0,0.0,0.0
2070,70,7.0,2.0,0.0
5978,295,12.0,1.0,0.0
1135,129,3.0,0.0,0.0
3784,77,8.0,1.0,0.0
3039,152,6.0,0.0,1.0
1923,244,5.0,,0.0
5047,245,7.0,1.0,0.0
2770,212,6.0,2.0,0.0
3020,190,11.0,1.0,0.0
122,122,6.0,0.0,1.0
2663,182,,0.0,0.0
2463,36,5.0,2.0,0.0
3560,36,4.0,1.0,0.0
2019,219,6.0,0.0,1.0
1453,45,8.0,0.0,0.0
3557,215,10.0,2.0,0.0
1136,239,6.0,1.0,0.0
4436,143,8.0,1.0,0.0
4882,143,,1.0,1.0
1053,73,5.0,1.0,0.0
6846,74,9.0,1.0,1.0
2661,11,9.0,0.0,
1226,274,10.0,0.0,0.0
69,34,9.0,0.0,1.0
2082,249,4.0,0.0,0.0
4456,222,10.0,0.0,
5331,258,4.0,0.0,1.0
4786,248,12.0,3.0,3.0
559,177,4.0,1.0,
5838,292,,1.0,0.0
704,168,8.0,1.0,0.0
5466,274,5.0,1.0,0.0
5190,196,3.0,2.0,1.0
1575,49,8.0,1.0,1.0
2390,268,2.0,1.0,0.0
1540,21,9.0,0.0,1.0
994,251,6.0,1.0,0.0
3760,230,7.0,0.0,0.0
3392,85,6.0,1.0,1.0
2298,12,9.0,0.0,0.0
569,177,9.0,3.0,0.0
3074,244,8.0,0.0,1.0
3543,159,,0.0,1.0
2772,293,2.0,0.0,0.0
4621,188,,0.0,0.0
1251,144,4.0,1.0,0.0
3433,99,5.0,2.0,
1171,155,5.0,0.0,
1429,232,6.0,1.0,0.0
2377,231,10.0,1.0,0.0
651,60,5.0,2.0,0.0
2890,223,,1.0,0.0
1833,143,13.0,0.0,2.0
3259,102,6.0,0.0,
2310,23,6.0,1.0,1.0
3815,290,,2.0,2.0
1912,43,5.0,1.0,0.0
533,266,,1.0,0.0
5675,235,7.0,0.0,0.0
2349,131,8.0,0.0,0.0
3184,16,7.0,2.0,0.0
4684,232,7.0,0.0,0.0
3938,111,5.0,,0.0
2855,201,4.0,0.0,0.0
5811,46,6.0,1.0,0.0
1214,158,6.0,1.0,1.0
3978,118,11.0,0.0,
934,147,7.0,2.0,
5629,64,,1.0,0.0
5209,19,3.0,0.0,0.0
1652,258,4.0,1.0,0.0
705,112,6.0,1.0,0.0
2778,66,5.0,2.0,1.0
5796,134,9.0,0.0,0.0
4621,60,5.0,0.0,0.0
4883,61,12.0,3.0,2.0
613,81,3.0,1.0,0.0
759,270,6.0,,0.0
4920,223,9.0,0.0,1.0
5791,13,8.0,2.0,0.0
4829,264,7.0,1.0,1.0
2203,217,,1.0,0.0
1932,266,5.0,1.0,0.0
1852,208,4.0,0.0,0.0
4440,95,7.0,2.0,0.0
2407,118,7.0,0.0,0.0
5656,167,5.0,1.0,1.0
2878,31,5.0,0.0,1.0
5910,115,2.0,1.0,0.0
2151,49,7.0,1.0,0.0
5023,199,6.0,1.0,1.0
3469,115,6.0,,0.0
3312,28,8.0,3.0,2.0
5802,218,8.0,0.0,0.0
3106,92,10.0,1.0,0.0
4571,141,4.0,1.0,0.0
1018,281,4.0,0.0,0.0
3739,193,3.0,2.0,0.0
3012,217,4.0,0.0,0.0
2524,80,7.0,,
5191,284,5.0,0.0,0.0
2650,137,6.0,2.0,0.0
5914,168,7.0,2.0,1.0
4018,157,7.0,3.0,0.0
5497,98,3.0,0.0,0.0
2325,256,6.0,0.0,0.0
5777,155,4.0,0.0,0.0
1952,293,8.0,1.0,0.0
4507,225,6.0,0.0,2.0
5420,164,6.0,1.0,0.0
4972,16,4.0,1.0,0.0
3313,56,8.0,3.0,0.0
2266,96,7.0,1.0,0.0
1493,51,11.0,1.0,0.0
3815,239,7.0,1.0,0.0
1754,97,7.0,0.0,0.0
5370,133,6.0,0.0,0.0
1542,99,7.0,0.0,0.0
450,112,6.0,2.0,0.0
5772,168,5.0,1.0,0.0
1106,243,7.0,0.0,1.0
5774,161,3.0,0.0,
4806,247,15.0,2.0,
3842,189,4.0,0.0,0.0
663,260,5.0,1.0,0.0
6060,64,6.0,1.0,0.0
4991,92,9.0,2.0,0.0
5494,108,10.0,0.0,1.0
5266,283,6.0,0.0,1.0
3074,118,5.0,0.0,0.0
706,21,8.0,2.0,1.0
246,40,,0.0,2.0
180,207,10.0,0.0,1.0
1901,266,6.0,1.0,0.0
5847,20,9.0,2.0,1.0
3302,102,10.0,0.0,0.0
1090,125,10.0,1.0,1.0
4112,50,9.0,1.0,0.0
1460,189,6.0,1.0,1.0
2290,249,4.0,0.0,0.0
4758,39,5.0,1.0,0.0
5136,291,6.0,1.0,0.0
4283,70,10.0,1.0,1.0
3439,247,11.0,1.0,1.0
552,145,8.0,0.0,1.0
3544,264,8.0,1.0,0.0
4761,4,5.0,0.0,0.0
1705,44,6.0,1.0,0.0
1547,7,5.0,0.0,0.0
4519,129,3.0,0.0,
2572,191,4.0,1.0,0.0
134,21,10.0,1.0,0.0
5508,55,6.0,0.0,1.0
310,291,6.0,1.0,0.0
3405,253,3.0,0.0,0.0
1456,190,,0.0,0.0
4930,139,6.0,0.0,0.0
4043,251,3.0,0.0,0.0
3069,129,5.0,0.0,0.0
2779,55,15.0,2.0,1.0
5281,234,5.0,1.0,1.0
4846,87,8.0,1.0,0.0
1848,120,13.0,1.0,1.0
4603,144,6.0,1.0,0.0
1624,194,2.0,0.0,0.0
854,72,9.0,2.0,0.0
5911,162,5.0,0.0,0.0
36,44,6.0,1.0,0.0
2776,143,8.0,2.0,0.0
2893,266,8.0,1.0,0.0
5394,235,10.0,1.0,1.0
4871,68,8.0,1.0,0.0
4264,38,4.0,0.0,0.0
5700,183,5.0,0.0,1.0
4820,224,6.0,1.0,1.0
366,20,13.0,1.0,2.0
6181,137,7.0,0.0,0.0
4938,264,6.0,0.0,0.0
3015,269,4.0,1.0,0.0
2215,266,5.0,0.0,1.0
5102,59,7.0,0.0,
2987,286,9.0,0.0,0.0
4604,155,1.0,0.0,0.0
537,119,7.0,0.0,1.0
428,6,7.0,0.0,1.0
3432,121,3.0,0.0,1.0
3711,196,7.0,1.0,1.0
596,251,12.0,1.0,1.0
5117,255,7.0,0.0,0.0
6825,177,2.0,0.0,0.0
924,283,13.0,3.0,2.0
5300,100,9.0,1.0,1.0
253,78,7.0,3.0,
1896,22,6.0,0.0,0.0
5724,97,3.0,0.0,1.0
2364,204,,1.0,0.0
3098,265,4.0,0.0,0.0
641,222,8.0,0.0,0.0
267,19,6.0,2.0,0.0
2861,213,7.0,0.0,0.0
5646,3,7.0,0.0,0.0
2901,197,6.0,1.0,0.0
1729,11,6.0,2.0,0.0
2446,259,4.0,0.0,0.0
986,270,10.0,1.0,0.0
99,187,7.0,0.0,0.0
3189,226,6.0,1.0,1.0
5460,14,4.0,0.0,0.0
1625,222,4.0,2.0,0.0
1816,130,,0.0,0.0
838,158,3.0,0.0,0.0
578,182,3.0,1.0,0.0
3422,196,6.0,2.0,0.0
1396,196,5.0,1.0,0.0
3332,133,6.0,1.0,0.0
4436,16,5.0,1.0,0.0
739,168,5.0,0.0,0.0
626,256,8.0,0.0,1.0
1938,240,2.0,1.0,0.0
2021,260,4.0,0.0,0.0
3727,125,10.0,2.0,0.0
232,93,3.0,0.0,0.0
1058,205,9.0,2.0,0.0
3112,123,5.0,0.0,0.0
4499,134,,0.0,1.0
4476,139,8.0,3.0,1.0
320,6,5.0,1.0,1.0
1237,6,2.0,0.0,0.0
68,3,5.0,0.0,0.0
5653,102,6.0,0.0,0.0
1311,84,6.0,,0.0
5558,46,5.0,0.0,0.0
3786,64,4.0,0.0,0.0
5000,237,9.0,0.0,0.0
5714,131,8.0,1.0,0.0
116,505,5.0,0.0,0.0
5778,171,5.0,1.0,0.0
1147,228,6.0,0.0,1.0
5837,260,5.0,2.0,1.0
1930,277,8.0,1.0,0.0
5824,20,7.0,1.0,0.0
4456,280,6.0,1.0,0.0
5390,27,4.0,1.0,0.0
3451,267,4.0,,1.0
3151,47,7.0,0.0,1.0
5805,130,3.0,0.0,0.0
1663,5,2.0,,0.0
1250,42,10.0,0.0,1.0
5115,47,7.0,1.0,0.0
3236,88,5.0,1.0,0.0
3572,158,7.0,0.0,0.0
4775,177,5.0,0.0,0.0
586,21,6.0,1.0,0.0
6985,245,8.0,0.0,1.0
3063,95,5.0,1.0,
569,233,6.0,1.0,0.0
5325,227,12.0,2.0,0.0
5407,228,7.0,2.0,0.0
3733,149,7.0,0.0,0.0
5998,169,8.0,2.0,0.0
1800,180,6.0,0.0,0.0
1672,236,,0.0,0.0
2833,110,6.0,1.0,2.0
1319,39,5.0,3.0,1.0
1920,197,,0.0,
123,106,4.0,0.0,0.0
1676,170,4.0,0.0,0.0
4918,183,7.0,1.0,0.0
788,220,,1.0,0.0
810,64,5.0,0.0,1.0
2303,155,3.0,1.0,0.0
3936,223,6.0,1.0,0.0
3452,147,4.0,0.0,0.0
5413,166,,0.0,0.0
5986,168,,0.0,0.0
5447,233,10.0,2.0,0.0
3344,135,6.0,3.0,0.0
5391,149,6.0,1.0,0.0
5181,29,7.0,2.0,0.0
188,252,4.0,1.0,0.0
129,141,5.0,1.0,1.0
3602,297,6.0,2.0,0.0
345,294,5.0,0.0,0.0
4536,168,7.0,0.0,0.0
4320,291,5.0,,0.0
1514,184,7.0,3.0,1.0
3466,166,6.0,1.0,0.0
1639,39,5.0,1.0,1.0
3129,157,6.0,2.0,0.0
1311,24,,1.0,0.0
1941,247,4.0,0.0,0.0
487,44,10.0,2.0,
5720,2,3.0,0.0,0.0
637,177,4.0,0.0,0.0
2849,70,5.0,0.0,0.0
90,58,6.0,1.0,0.0
5733,212,3.0,1.0,0.0
5779,290,2.0,0.0,0.0
1938,227,9.0,1.0,0.0
5678,275,8.0,0.0,1.0
2912,93,3.0,0.0,0.0
5114,43,6.0,1.0,0.0
355,251,5.0,0.0,0.0
1662,119,6.0,0.0,0.0
1464,258,3.0,1.0,
3485,88,10.0,0.0,0.0
259,83,7.0,1.0,0.0
2195,145,8.0,1.0,1.0
3373,91,7.0,0.0,0.0
1931,80,8.0,1.0,0.0
467,274,5.0,0.0,1.0
2866,181,6.0,2.0,0.0
692,83,5.0,0.0,0.0
3827,41,7.0,1.0,
665,240,2.0,0.0,0.0
2005,226,1.0,0.0,0.0
3275,299,9.0,1.0,0.0
3728,37,10.0,2.0,1.0
4982,31,6.0,1.0,0.0
4634,148,7.0,1.0,0.0
4938,71,,0.0,0.0
3399,108,5.0,1.0,0.0
645,51,3.0,1.0,1.0
1025,38,,0.0,1.0
1950,237,3.0,0.0,0.0
253,172,7.0,1.0,1.0
3048,50,8.0,,0.0
1044,136,,0.0,1.0
1883,296,6.0,2.0,0.0
230,47,7.0,3.0,0.0
5297,4,3.0,,0.0
655,564,9.0,1.0,0.0
4655,112,6.0,0.0,1.0
5286,72,9.0,1.0,0.0
3399,101,2.0,,1.0
4577,209,6.0,1.0,0.0
1965,29,6.0,1.0,1.0
5040,191,4.0,1.0,0.0
55,70,8.0,1.0,1.0
1412,93,6.0,1.0,0.0
4510,37,6.0,1.0,0.0
2019,246,5.0,0.0,0.0
195,143,11.0,0.0,0.0
2374,131,7.0,0.0,0.0
440,75,6.0,0.0,0.0
2663,61,4.0,0.0,0.0
1923,293,9.0,0.0,1.0
5899,142,8.0,0.0,1.0
456,246,6.0,0.0,0.0
2650,20,4.0,,0.0
6233,273,3.0,1.0,0.0
4490,97,6.0,2.0,0.0
1377,183,8.0,0.0,0.0
2681,163,5.0,0.0,0.0
5410,40,10.0,1.0,0.0
5657,140,8.0,1.0,0.0
3094,162,5.0,1.0,0.0
3931,126,8.0,1.0,0.0
2407,234,6.0,1.0,0.0
102,299,6.0,1.0,0.0
2191,248,8.0,1.0,0.0
4533,31,6.0,1.0,1.0
4827,179,8.0,,0.0
1025,120,6.0,0.0,0.0
1791,179,11.0,0.0,0.0
873,264,5.0,1.0,2.0
5203,127,7.0,0.0,0.0
4661,5,6.0,0.0,0.0
5585,46,5.0,1.0,0.0
4487,167,4.0,,0.0
5358,42,10.0,1.0,2.0
1063,85,6.0,2.0,1.0
217,276,8.0,0.0,0.0
3353,190,7.0,0.0,
4817,649,3.0,1.0,0.0
5771,16,7.0,0.0,0.0
3189,35,4.0,0.0,0.0
5524,65,6.0,0.0,0.0
4772,153,6.0,1.0,0.0
829,103,5.0,1.0,0.0
5766,3,8.0,3.0,0.0
489,259,9.0,0.0,1.0
2156,18,8.0,1.0,0.0
4547,166,5.0,0.0,0.0
3817,188,2.0,0.0,0.0
5501,148,9.0,2.0,2.0
429,208,7.0,2.0,1.0
1910,13,6.0,1.0,0.0
5898,349,3.0,0.0,0.0
1079,67,9.0,0.0,1.0
4639,77,7.0,1.0,1.0
5254,228,5.0,0.0,0.0
4504,107,5.0,1.0,0.0
5350,197,4.0,0.0,1.0
1008,234,5.0,0.0,0.0
335,13,9.0,1.0,0.0
2639,23,7.0,0.0,0.0
3106,51,9.0,2.0,0.0
5167,171,8.0,1.0,0.0
5651,115,,0.0,1.0
3358,139,,1.0,0.0
2210,118,8.0,1.0,0.0
2484,90,9.0,0.0,2.0
97,202,8.0,0.0,0.0
4689,21,,0.0,0.0
2210,290,3.0,0.0,0.0
3304,81,7.0,0.0,
1911,2,7.0,0.0,0.0
6000,19,7.0,0.0,0.0
2259,282,5.0,0.0,0.0
5447,228,10.0,1.0,1.0
6655,263,7.0,1.0,2.0
4566,273,5.0,1.0,0.0
3745,102,4.0,2.0,0.0
2051,259,5.0,1.0,0.0
498,240,5.0,0.0,0.0
5283,189,7.0,,0.0
1327,189,7.0,0.0,0.0
6192,231,5.0,0.0,2.0
2978,164,9.0,1.0,1.0
3619,8,6.0,0.0,3.0
5483,77,5.0,,0.0
174,90,15.0,,2.0
4229,179,5.0,1.0,0.0
438,7,6.0,1.0,0.0
1042,79,6.0,1.0,0.0
2225,168,3.0,1.0,0.0
3864,5,3.0,1.0,1.0
3794,113,3.0,0.0,1.0
2706,269,,1.0,0.0
4347,250,7.0,2.0,0.0
2727,280,,2.0,1.0
1482,218,9.0,1.0,0.0
137,112,10.0,,0.0
4725,231,6.0,3.0,1.0
1425,215,4.0,0.0,0.0
2275,281,6.0,0.0,0.0
2211,270,5.0,0.0,0.0
970,233,4.0,0.0,0.0
1012,256,6.0,1.0,1.0
5199,126,6.0,0.0,0.0
704,163,5.0,2.0,1.0
4553,169,9.0,3.0,1.0
3355,159,7.0,0.0,2.0
5782,235,6.0,0.0,1.0
682,52,8.0,1.0,0.0
2944,171,6.0,0.0,1.0
608,21,9.0,1.0,1.0
616,155,6.0,1.0,1.0
4177,46,5.0,0.0,0.0
3905,286,4.0,0.0,0.0
5871,43,8.0,2.0,0.0
1934,189,6.0,1.0,1.0
3272,258,12.0,3.0,1.0
2445,13,4.0,0.0,0.0
4229,256,6.0,,1.0
3868,33,2.0,1.0,0.0
5252,291,7.0,2.0,0.0
5917,133,13.0,2.0,1.0
106,57,6.0,1.0,
3436,37,4.0,0.0,0.0
5451,86,4.0,1.0,0.0
1952,229,5.0,1.0,0.0
5879,215,7.0,0.0,0.0
5163,297,5.0,1.0,0.0
